Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,fAVG,fOPS,fHR,fRBI,fR,fSB,fSCORE
Marcell Ozuna,Cardinals,130,549,29,80,89,12,11.30%,20.80%,0.231,0.257,0.241,0.328,0.472,0.336,109,1.6,8.1,0,2.5,30,75,104,111,78,110,85
Brett Gardner,Yankees,141,550,28,86,74,10,9.50%,19.60%,0.253,0.265,0.251,0.325,0.503,0.344,115,4.6,15.2,2.5,3.6,48,87,100,75,92,103,84
Corey Seager,Dodgers,134,541,19,82,87,1,8.10%,18.10%,0.211,0.303,0.272,0.335,0.483,0.34,113,3.4,12.6,4.1,3.3,86,83,64,106,83,74,83
Paul DeJong,Cardinals,159,664,30,97,78,9,9.30%,22.40%,0.211,0.259,0.233,0.318,0.444,0.322,100,2.3,2.2,18.5,4.1,16,59,108,85,116,100,81
Amed Rosario,Mets,157,655,15,75,72,19,4.70%,18.90%,0.144,0.338,0.287,0.323,0.432,0.318,100,1.3,1.1,5.9,2.7,113,57,48,70,67,132,81
Eloy Jimenez,White Sox,122,504,31,69,79,0,6.00%,26.60%,0.246,0.308,0.267,0.315,0.513,0.343,116,1.8,12.3,-11,1.9,77,87,112,87,54,71,81
Yasmani Grandal,Brewers,153,632,28,79,77,5,17.20%,22.00%,0.222,0.279,0.246,0.38,0.468,0.361,121,-5.1,12.6,20.6,5.2,39,95,100,82,76,87,80
Adam Eaton,Nationals,151,656,15,103,49,15,9.90%,16.20%,0.148,0.319,0.279,0.365,0.428,0.342,107,3.5,10,-7,2.3,99,72,48,15,129,120,80
Kole Calhoun,Angels,152,632,33,92,74,4,11.10%,25.60%,0.236,0.265,0.232,0.325,0.467,0.33,108,-1.2,4.9,-1.1,2.5,14,72,120,75,105,84,78
Victor Robles,Nationals,155,617,17,86,65,28,5.70%,22.70%,0.165,0.31,0.255,0.326,0.419,0.317,91,4.2,-3,8.5,2.5,55,52,56,53,92,161,78
Kevin Newman,Pirates,130,531,12,61,64,16,5.30%,11.70%,0.138,0.333,0.308,0.353,0.446,0.339,110,-0.2,6.7,0.5,2.4,151,75,35,51,36,123,78
Rhys Hoskins,Phillies,160,705,29,86,85,2,16.50%,24.50%,0.228,0.267,0.226,0.364,0.454,0.347,113,-2.7,9.2,-9.8,2.2,3,83,104,101,92,78,77
Avisail Garcia,Rays,125,530,20,61,72,10,5.80%,23.60%,0.182,0.34,0.282,0.332,0.464,0.334,112,-3.5,4.3,-4.2,1.8,104,74,68,70,36,103,76
Christian Vazquez,Red Sox,138,521,23,66,72,4,6.30%,19.40%,0.201,0.305,0.276,0.32,0.477,0.331,102,-4.2,-3.1,20.8,3.5,93,74,80,70,47,84,75
Nick Ahmed,Diamondbacks,158,625,19,79,82,8,8.30%,18.10%,0.183,0.28,0.254,0.316,0.437,0.315,92,2.2,-4.8,9,2.4,54,56,64,94,76,97,74
Asdrubal Cabrera,- - -,131,514,18,69,91,4,11.10%,20.00%,0.181,0.294,0.26,0.342,0.441,0.331,98,-4.2,-5.4,6.9,1.9,64,68,60,116,54,84,74
Kolten Wong,Cardinals,148,549,11,61,59,24,8.60%,15.10%,0.138,0.321,0.285,0.361,0.423,0.334,108,7.1,12.9,7.2,3.7,110,69,31,39,36,149,72
Cesar Hernandez,Phillies,161,667,14,77,71,9,6.70%,15.00%,0.129,0.313,0.279,0.333,0.408,0.315,92,1.5,-5.5,1.6,1.7,99,51,43,68,72,100,72
Luke Voit,Yankees,118,510,21,72,62,0,13.90%,27.80%,0.2,0.345,0.263,0.378,0.464,0.36,126,-3.8,12.9,-13.6,1.7,70,93,72,46,61,71,69
Jean Segura,Phillies,144,618,12,79,60,10,4.90%,11.80%,0.141,0.302,0.28,0.323,0.42,0.315,92,5.7,-0.9,5,2.3,101,52,35,41,76,103,68
Andrew Benintendi,Red Sox,138,615,13,72,68,10,9.60%,22.80%,0.165,0.333,0.266,0.343,0.431,0.33,100,2.7,3.1,-4.1,2,75,64,39,61,61,103,67
Jason Heyward,Cubs,147,589,21,78,62,8,11.50%,18.70%,0.177,0.281,0.251,0.343,0.429,0.328,101,2.1,2.6,-1.7,1.9,48,64,72,46,74,97,67
Brian Anderson,Marlins,126,520,20,57,66,5,8.50%,21.90%,0.207,0.305,0.261,0.342,0.468,0.342,114,-0.3,9.6,5,3.1,66,79,68,56,27,87,64
Hanser Alberto,Orioles,139,550,12,62,51,4,2.90%,9.10%,0.116,0.318,0.305,0.329,0.422,0.318,96,-1.7,-4.7,4.8,1.9,146,55,35,20,38,84,63
David Fletcher,Angels,154,653,6,83,49,8,8.40%,9.80%,0.094,0.317,0.29,0.35,0.384,0.318,99,-0.8,-1.4,13.6,3.4,119,48,11,15,85,97,62
Adam Frazier,Pirates,152,608,10,80,50,5,6.60%,12.30%,0.139,0.306,0.278,0.336,0.417,0.32,97,0.7,-1.6,4.9,2.2,97,56,27,17,78,87,60
Evan Longoria,Giants,129,508,20,59,69,3,8.50%,22.00%,0.183,0.291,0.254,0.325,0.437,0.322,101,-1.3,-0.6,4.6,2,54,59,68,63,32,81,60
Daniel Vogelbach,Mariners,144,558,30,73,76,0,16.50%,26.70%,0.232,0.232,0.208,0.341,0.439,0.333,111,-0.1,7.7,-11.2,1.6,-30,67,108,80,63,71,60
Jose Iglesias,Reds,146,530,11,62,59,6,3.80%,13.20%,0.119,0.315,0.288,0.318,0.407,0.306,84,-1.9,-13,11.9,1.6,115,44,31,39,38,91,60
Willy Adames,Rays,152,584,20,69,52,4,7.90%,26.20%,0.164,0.32,0.254,0.317,0.418,0.313,97,2.2,0,8.5,2.8,54,48,68,22,54,84,55
Miguel Rojas,Marlins,132,526,5,52,46,9,6.10%,11.80%,0.095,0.314,0.284,0.331,0.379,0.305,90,-2.9,-9.8,12.6,1.9,108,38,7,8,16,100,46
