Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Jonathan Cannon","CHW",5,6,,4.5278,24,24,,,113.3,482,115,61,57,13,35,0,1,70,5.56046,2.78023,2,1.03266,0.145228,0.0726141,0.07261411100625992,0.257848,1.32392,0.280992,0.675266,,,4.46422,1.49942,1.22641,999,,,,"sa3020591"
"Evan McKendry","MIL",6,7,,4.22764,22,17,,,110.7,470,110,56,52,14,29,0,7,86,6.99187,2.35772,2.96552,1.13821,0.182979,0.0617021,0.12127659097313881,0.253456,1.25565,0.287425,0.695142,,,4.32098,1.49427,1.56739,999,,,,"sa3010787"
"Brandon Williamson","CIN",5,7,,4.73684,25,25,,,119.7,525,118,67,63,17,49,0,7,108,8.1203,3.68421,2.20408,1.2782,0.205714,0.0933333,0.11238095164299011,0.251599,1.39515,0.293605,0.698324,,,4.70032,1.4893,1.43523,999,,,,"25463"
"Will Warren","NYY",7,6,,4.27441,23,21,,,113.7,484,105,58,54,14,40,0,6,100,7.91557,3.16623,2.5,1.10818,0.206612,0.0826446,0.12396694719791412,0.239726,1.27529,0.280864,0.69378,,,4.31045,1.48737,1.3508,999,,,,"sa3018149"
"Sean Sullivan","PIT",5,6,,4.30178,23,20,,,106.7,457,105,55,51,11,35,0,5,77,6.49485,2.9522,2.2,0.927835,0.16849,0.0765864,0.09190372377634048,0.251799,1.31209,0.285714,0.682183,,,4.2766,1.4839,1.50088,999,,,,"sa3018185"
"Mitchell Parker","WSN",6,8,,4.41509,24,23,,,106,464,101,56,52,12,49,0,3,98,8.32076,4.16038,2,1.01887,0.211207,0.105603,0.10560344904661179,0.245146,1.41509,0.294702,0.705706,,,4.34938,1.4806,1.32261,999,,,,"sa3014973"
"Dylan Smith","DET",6,7,,4.17219,28,27,,,105.7,448,105,52,49,11,29,0,5,75,6.386,2.46925,2.58621,0.936613,0.167411,0.0647321,0.1026785746216774,0.253623,1.26774,0.286585,0.6914,,,4.15381,1.47834,1.58941,999,,,,"sa3018113"
"Isaac Coffey","BOS",8,8,,4.45946,22,21,,,111,474,109,59,55,14,31,0,9,94,7.62162,2.51351,3.03226,1.13514,0.198312,0.0654008,0.13291139155626297,0.251152,1.26126,0.291411,0.672757,,,4.28207,1.47747,1.54862,999,,,,"sa3020222"
"Sem Robberse","STL",5,5,,4.12273,24,23,,,115.7,495,112,57,53,13,40,0,5,90,7.00086,3.1115,2.25,1.01124,0.181818,0.0808081,0.10101010650396347,0.248889,1.31374,0.285303,0.710015,,,4.32678,1.47368,1.69279,999,,,,"sa3011735"
"Colton Gordon","HOU",6,6,,4.08727,25,20,,,112.3,479,101,55,51,12,43,0,6,100,8.01425,3.44613,2.32558,0.96171,0.208768,0.0897704,0.11899790912866592,0.234884,1.28228,0.279874,0.699686,,,4.17223,1.47204,1.6054,999,,,,"sa3019426"
