jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Frederic Garcia","","0","0","8.30","0","1","0","1.0","1","1","0","0","1","2.34","4.27","10.03","8.36","0.0","0.0","999.0","sa3006575"
"Luis Arrieta","","0","0","8.24","0","1","0","1.0","1","1","0","1","1","2.35","4.94","10.53","8.36","0.0","0.0","999.0","sa3003050"
"Miguel Peralta","","0","0","8.23","0","1","0","1.0","1","1","0","1","1","2.34","4.73","10.30","8.37","0.0","0.0","999.0","sa3006394"
"Jose Mujica","Rockies","1","1","5.74","2","10","0","17.0","19","11","4","13","7","1.53","6.95","3.67","5.71","0.0","0.0","999.0","17821"
"Brendan Hardy","Mets","0","0","7.78","0","1","0","1.0","1","1","0","1","1","2.31","5.27","10.56","8.13","0.0","0.0","999.0","sa3008290"
"Wilton Sanchez","","0","0","8.25","0","1","0","1.0","1","1","0","1","1","2.34","5.08","10.47","8.38","0.0","0.0","999.0","sa3004366"
"Raibel Custodio","","0","0","8.19","0","1","0","1.0","1","1","0","1","1","2.33","4.99","10.27","8.22","0.0","0.0","999.0","sa3002924"
"Elvis Jerez","Indians","0","0","8.20","0","1","0","1.0","1","1","0","1","1","2.35","5.02","10.63","8.38","0.0","0.0","999.0","sa3009469"
"Daniel De Leon","","0","0","8.26","0","1","0","1.0","1","1","0","1","1","2.34","4.51","10.23","8.38","0.0","0.0","999.0","sa3005888"
"Darling Grullon","","0","0","8.22","0","1","0","1.0","1","1","0","1","1","2.38","4.70","10.76","8.39","0.0","0.0","999.0","sa3009500"
"Oswal Torres","","0","0","8.21","0","1","0","1.0","1","1","0","1","1","2.38","4.68","10.75","8.39","0.0","0.0","999.0","sa3006157"
"Henry Torres","","0","0","7.84","0","1","0","1.0","1","1","0","1","1","2.31","5.20","10.67","8.18","0.0","0.0","999.0","sa3006103"
"Raulin Celedonio","Braves","0","0","7.79","0","1","0","1.0","1","1","0","1","1","2.41","5.28","11.43","8.17","0.0","0.0","999.0","sa3006167"
"Mauricio Bascunan","Diamondbacks","0","0","8.34","0","1","0","1.0","1","1","0","0","1","2.27","4.42","9.28","8.25","0.0","0.0","999.0","sa3009461"
"Adenys Bautista","","0","0","8.34","0","1","0","1.0","1","1","0","1","1","2.34","4.75","10.24","8.41","0.0","0.0","999.0","sa3007905"
"Alejandro Vallejo","","0","0","8.22","0","1","0","1.0","1","1","0","1","1","2.40","5.13","11.12","8.41","0.0","0.0","999.0","sa3002619"
"Logan Franco","Indians","0","0","8.26","0","1","0","1.0","1","1","0","1","1","2.35","4.52","10.38","8.42","0.0","0.0","999.0","sa3006573"
"Blake Cederlind","Pirates","1","1","4.64","0","16","0","16.0","15","8","2","15","9","1.49","8.69","4.79","4.80","0.0","0.0","999.0","20344"
"Reinardo Mota","","0","0","8.30","0","1","0","1.0","1","1","0","1","1","2.38","4.64","10.63","8.43","0.0","0.0","999.0","sa3003160"
"Andy Reyes","Phillies","0","0","8.55","0","1","0","1.0","1","1","0","1","1","2.36","4.82","10.35","8.66","0.0","0.0","999.0","sa3006134"
"Eiker Huizi","","0","0","7.89","0","1","0","1.0","1","1","0","1","1","2.28","5.01","10.14","8.20","0.0","0.0","999.0","sa3007842"
"Kyle Ryan","Cubs","2","3","4.61","0","55","0","55.0","58","28","7","43","26","1.51","7.09","4.20","4.84","0.0","0.0","999.0","11753"
"Daniel Acosta","","0","0","8.27","0","1","0","1.0","1","1","0","1","1","2.41","5.00","11.22","8.46","0.0","0.0","999.0","sa916724"
"Zamil Castillo","Reds","0","0","8.38","0","1","0","1.0","1","1","0","1","1","2.43","5.88","11.57","8.63","0.0","0.0","999.0","sa3006118"
"Luis Diaz","","0","0","8.18","0","1","0","1.0","1","1","0","1","1","2.29","4.78","9.81","8.23","0.0","0.0","999.0","sa3005825"
"Hernando Mejia","","0","0","8.31","0","1","0","1.0","1","1","0","1","1","2.36","4.59","10.49","8.47","0.0","0.0","999.0","sa3005701"
"Oscar Echarry","Pirates","0","0","8.36","0","1","0","1.0","1","1","0","1","1","2.35","4.59","10.29","8.47","0.0","0.0","999.0","sa3005865"
"Dauris Lopez","","0","0","7.98","0","1","0","1.0","1","1","0","0","1","2.28","4.45","9.99","8.25","0.0","0.0","999.0","sa3002932"
"Cesar Camargo","Royals","0","0","8.43","0","1","0","1.0","1","1","0","1","1","2.41","4.62","11.01","8.46","0.0","0.0","999.0","sa3005850"
"Felix Gomez","","0","0","8.05","0","1","0","1.0","1","1","0","1","1","2.48","5.12","12.03","8.48","0.0","0.0","999.0","sa3006355"
