jo"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Kirby Yates","Blue Jays","3","3","3.73","0","60","27","60.0","50","25","8","75","21","1.19","11.31","3.22","3.72","0.7","0.7","231.4","9073"
"Emmanuel Clase","Indians","3","3","3.56","0","56","2","56.0","49","22","6","63","21","1.26","10.14","3.40","3.64","0.7","0.8","491.4","21032"
"Gio Gonzalez","","6","7","4.96","19","19","0","106.0","110","58","17","90","50","1.51","7.66","4.22","5.07","0.7","0.8","999.0","7448"
"Tanner Scott","Orioles","3","3","3.69","0","63","3","63.0","53","26","7","75","32","1.35","10.65","4.60","4.02","0.7","0.8","578.8","17586"
"Steven Brault","Pirates","7","12","5.02","28","28","0","158.0","162","88","23","133","80","1.53","7.56","4.52","5.14","0.7","0.8","488.3","15291"
"Seth Lugo","Mets","4","4","3.82","3","57","0","71.0","65","30","10","77","21","1.20","9.75","2.60","3.89","0.7","0.6","374.9","12447"
"Taylor Hearn","Rangers","3","4","4.25","3","53","0","68.0","60","32","11","78","31","1.33","10.29","4.13","4.48","0.7","0.9","999.0","18325"
"Zack Britton","Yankees","3","3","3.50","0","63","4","63.0","59","25","5","61","30","1.41","8.65","4.31","3.86","0.7","0.9","371.3","3240"
"Justin Dunn","Mariners","6","9","5.29","23","23","0","121.0","121","71","22","106","58","1.49","7.93","4.34","5.47","0.7","0.4","526.4","19268"
"MacKenzie Gore","","5","5","4.65","15","15","0","83.0","80","43","14","80","36","1.40","8.66","3.88","4.86","0.7","0.7","999.0","sa3005068"
"Matt Manning","Tigers","3","5","4.99","11","11","0","65.0","67","36","11","58","28","1.46","8.03","3.88","4.96","0.7","0.7","999.0","sa917924"
"Craig Kimbrel","Cubs","3","3","3.66","0","63","32","63.0","48","26","8","88","30","1.23","12.53","4.24","3.71","0.6","0.8","205.6","6655"
"Kyle Wright","Braves","6","8","4.92","19","27","0","115.0","118","63","17","100","51","1.48","7.89","4.02","4.89","0.6","0.9","511.4","19665"
"Daniel Norris","Tigers","3","4","4.28","3","56","0","70.0","69","33","11","69","22","1.30","8.85","2.81","4.26","0.6","0.6","583.0","13475"
"Nick Pivetta","Red Sox","5","6","5.06","15","25","0","91.0","94","51","16","81","36","1.43","8.01","3.54","5.01","0.6","0.8","529.4","15454"
"Jose Urena","Tigers","5","10","5.55","21","26","0","123.0","141","76","23","89","45","1.51","6.49","3.32","5.48","0.6","0.4","581.8","11589"
"Brett Martin","Rangers","3","3","4.01","0","56","0","56.0","54","25","7","53","22","1.35","8.56","3.48","4.22","0.6","0.7","999.0","17369"
"Grant Holmes","Athletics","5","5","4.59","10","45","0","90.0","91","46","13","79","36","1.41","7.87","3.61","4.63","0.6","0.5","999.0","sa828669"
"Jose Alvarado","Phillies","3","3","3.72","0","58","2","58.0","48","24","7","72","30","1.35","11.11","4.70","3.98","0.6","0.7","553.1","17780"
"Matt Moore","","7","9","5.22","23","23","0","127.0","134","74","25","107","48","1.44","7.56","3.41","5.31","0.6","0.7","999.0","1890"
"Diego Castillo","Rays","3","3","3.52","0","63","8","63.0","53","25","7","72","26","1.25","10.26","3.69","3.73","0.6","0.8","344.5","17496"
"Chad Kuhl","Pirates","6","10","5.16","24","24","0","137.0","142","78","23","121","61","1.48","7.96","4.00","5.14","0.6","0.6","566.3","14975"
"Drew Pomeranz","Padres","3","3","3.80","0","63","22","63.0","54","27","9","76","27","1.28","10.86","3.86","3.96","0.6","0.5","257.9","11426"
"Jonathan Loaisiga","Yankees","3","3","3.84","0","56","0","56.0","49","24","8","65","20","1.25","10.42","3.28","3.89","0.6","0.6","552.3","19753"
"Brendan McKay","Rays","2","2","3.74","5","15","0","37.0","32","15","5","42","13","1.21","10.15","3.13","3.93","0.6","0.6","567.0","20186"
"Sean Hjelle","Giants","3","4","4.56","11","11","0","65.0","69","33","8","48","24","1.44","6.66","3.30","4.58","0.6","0.5","999.0","sa3007989"
"Jonathan Hernandez","Rangers","3","3","4.13","0","63","6","63.0","58","29","8","66","27","1.35","9.43","3.90","4.26","0.6","0.7","455.9","17464"
"Jordan Hicks","Cardinals","2","2","3.57","0","50","9","50.0","42","20","5","59","25","1.34","10.55","4.46","3.72","0.5","0.5","269.6","19618"
"Jake Diekman","Athletics","3","3","3.55","0","63","20","63.0","51","25","6","78","33","1.33","11.08","4.76","3.82","0.5","0.8","336.6","5003"
"Jon Lester","","7","10","5.37","24","24","0","135.0","152","81","27","106","46","1.46","7.07","3.04","5.32","0.5","0.5","530.9","4930"
"Sean Poppen","Pirates","4","5","4.82","13","13","0","74.0","76","40","10","63","34","1.49","7.73","4.18","4.84","0.5","0.5","999.0","19583"
"Lewis Thorpe","Twins","5","5","4.64","8","51","0","89.0","88","46","15","81","33","1.37","8.27","3.40","4.80","0.5","0.7","999.0","15906"
"Paul Fry","Orioles","3","3","3.93","0","56","1","56.0","51","24","7","58","26","1.37","9.33","4.13","4.23","0.5","0.5","999.0","15832"
"Devin Williams","Brewers","3","3","3.65","0","63","3","63.0","50","26","8","81","31","1.28","11.50","4.37","3.84","0.5","0.7","181.6","15816"
"Trevor Cahill","","3","4","4.88","8","30","0","65.0","67","35","10","59","27","1.44","8.09","3.79","4.85","0.5","0.3","999.0","6249"
"Will Smith","Braves","3","3","3.85","0","62","8","62.0","54","27","9","74","23","1.24","10.72","3.35","3.93","0.5","0.7","268.4","8048"
"Trent Thornton","Blue Jays","5","6","5.04","15","27","0","89.0","92","50","16","79","34","1.41","8.03","3.41","5.07","0.5","0.5","999.0","17948"
"Joe Ross","Nationals","6","8","5.35","21","21","0","118.0","128","70","23","95","45","1.46","7.25","3.42","5.39","0.5","0.5","584.4","12972"
"Raisel Iglesias","Angels","3","3","3.98","0","63","30","63.0","56","28","10","73","22","1.23","10.40","3.13","4.08","0.5","0.6","99.1","17130"
"Rafael Montero","Mariners","3","3","4.04","0","63","25","63.0","56","28","9","69","24","1.27","9.87","3.42","4.23","0.5","0.5","203.1","12760"
"Nick Margevicius","Mariners","4","5","4.81","11","19","0","70.0","73","38","13","56","23","1.37","7.16","2.99","5.11","0.5","0.5","599.3","20395"
"Austin Adams","Padres","3","3","3.62","0","55","3","55.0","44","22","6","70","26","1.28","11.38","4.30","3.75","0.5","0.6","593.3","13801"
"Braxton Garrett","Marlins","4","5","4.61","13","13","0","73.0","74","37","10","61","34","1.49","7.52","4.22","4.80","0.5","0.6","999.0","21844"
"Tyler Anderson","","5","8","5.35","19","19","0","106.0","116","63","21","84","41","1.47","7.08","3.48","5.53","0.5","0.4","593.2","12880"
"Felix Hernandez","Braves","5","7","5.35","18","18","0","99.0","110","59","18","76","37","1.48","6.92","3.34","5.31","0.5","0.3","999.0","4772"
"Aaron Sanchez","","4","6","4.96","13","28","0","86.0","89","47","12","71","41","1.52","7.48","4.33","5.05","0.5","0.5","999.0","11490"
"Tyler Duffey","Twins","3","3","4.01","0","63","3","63.0","59","28","9","67","22","1.27","9.59","3.08","4.07","0.5","0.6","484.7","13758"
"Joely Rodriguez","Rangers","3","3","4.01","0","63","4","63.0","59","28","8","63","28","1.38","9.04","3.98","4.25","0.5","0.7","598.8","11487"
"David Robertson","","2","2","3.89","0","50","0","50.0","43","22","7","60","21","1.29","10.74","3.86","3.95","0.5","0.5","999.0","8241"
"Forrest Whitley","Astros","4","4","4.88","11","11","0","65.0","62","35","11","65","33","1.47","8.98","4.55","5.01","0.5","0.5","999.0","sa917930"
"Brusdar Graterol","Dodgers","3","3","3.72","0","60","6","60.0","54","25","7","63","22","1.26","9.48","3.24","3.89","0.5","0.5","465.3","20367"
"Shane McClanahan","Rays","4","5","4.50","10","34","0","79.0","76","40","12","75","36","1.42","8.47","4.10","4.77","0.5","0.6","578.2","sa3008547"
"Bruce Zimmermann","Orioles","5","8","5.29","18","23","0","105.0","112","62","20","83","48","1.52","7.09","4.09","5.58","0.4","0.6","999.0","20370"
"Trevor Rosenthal","","3","3","3.85","0","63","0","63.0","50","27","8","81","35","1.35","11.53","4.98","4.03","0.4","0.7","198.8","10745"
"Alex Reyes","Cardinals","3","3","4.02","0","58","14","58.0","48","26","7","70","32","1.37","10.93","4.92","4.20","0.4","0.4","372.5","15015"
"Scott Barlow","Royals","3","3","4.02","0","63","1","63.0","56","28","8","71","27","1.32","10.16","3.89","4.04","0.4","0.7","552.4","14993"
"Josh Staumont","Royals","3","3","4.15","0","63","11","63.0","52","29","8","77","36","1.41","11.05","5.17","4.27","0.4","0.6","459.9","18335"
"Trevor Williams","","6","9","5.32","21","21","0","117.0","129","69","23","92","40","1.44","7.08","3.05","5.31","0.4","0.5","599.9","16977"
"Cody Ponce","Pirates","4","7","5.24","15","23","0","90.0","97","52","15","72","37","1.49","7.17","3.73","5.23","0.4","0.2","999.0","17920"
"Reynaldo Lopez","White Sox","5","7","5.11","15","37","0","101.0","104","57","21","90","36","1.38","8.04","3.20","5.29","0.4","0.3","588.8","16400"
"Daniel Bard","Rockies","3","3","4.37","0","61","25","61.0","57","30","9","67","25","1.34","9.83","3.68","4.35","0.4","0.6","347.6","7115"
"Chris Martin","Braves","3","3","3.97","0","62","21","62.0","60","27","9","62","16","1.23","9.02","2.32","3.93","0.4","0.5","386.7","11847"
"Jhoan Duran","Twins","3","3","4.64","6","14","0","45.0","45","23","6","40","21","1.46","8.06","4.17","4.73","0.4","0.5","999.0","sa873347"
"Blake Treinen","Dodgers","3","3","3.81","0","65","9","65.0","60","28","7","66","26","1.31","9.09","3.55","3.99","0.4","0.5","449.1","12572"
"Anthony Misiewicz","Mariners","3","3","3.96","0","60","2","60.0","55","26","9","59","20","1.26","8.91","3.00","4.29","0.4","0.5","999.0","18152"
"Tyler Matzek","Braves","3","3","3.79","0","56","1","56.0","48","24","7","67","25","1.30","10.80","3.97","3.88","0.4","0.5","596.1","10058"
"Amir Garrett","Reds","3","3","4.24","0","63","20","63.0","55","30","10","76","30","1.36","10.80","4.34","4.40","0.4","0.4","348.9","14375"
"Felix Pena","Angels","3","3","4.16","0","60","1","60.0","56","28","9","64","21","1.28","9.65","3.11","4.20","0.4","0.4","596.2","13403"
"Ivan Nova","Tigers","5","7","5.33","18","18","0","99.0","116","59","18","65","28","1.45","5.91","2.52","5.28","0.4","0.4","999.0","1994"
"Andrew Chafin","","3","3","3.94","0","56","0","56.0","51","25","7","60","25","1.34","9.63","3.95","4.16","0.4","0.5","999.0","12988"
"Lucas Sims","Reds","3","3","4.31","0","63","11","63.0","54","30","11","78","28","1.30","11.08","3.96","4.42","0.4","0.4","355.3","13470"
"Eric Lauer","Brewers","6","9","5.01","23","28","0","128.0","131","71","24","112","51","1.43","7.86","3.61","5.25","0.4","0.8","590.8","19316"
"Will Harris","Nationals","3","3","4.23","0","58","1","58.0","57","27","8","55","21","1.34","8.60","3.23","4.25","0.4","0.4","595.5","3192"
"Brad Hand","","3","3","4.14","0","65","21","65.0","58","30","10","75","25","1.27","10.36","3.40","4.27","0.4","0.5","164.1","9111"
"Mychal Givens","Rockies","3","3","4.60","0","65","2","65.0","60","33","11","71","28","1.35","9.86","3.85","4.65","0.4","0.6","577.4","10430"
"Jesse Hahn","Royals","3","3","4.17","0","56","8","56.0","53","26","7","55","23","1.36","8.88","3.69","4.21","0.4","0.5","594.4","13287"
"Jose De Leon","Reds","3","4","4.75","5","47","0","70.0","63","37","12","81","38","1.45","10.44","4.93","4.86","0.4","0.4","600.6","15463"
"Tyler Phillips","Rangers","2","2","4.73","5","13","0","36.0","39","19","5","26","11","1.40","6.61","2.82","4.79","0.4","0.5","999.0","sa875646"
"Codi Heuer","White Sox","3","3","4.00","0","57","0","57.0","54","25","7","57","23","1.34","9.01","3.65","4.21","0.4","0.4","999.0","23293"
"Justin Wilson","","3","3","4.11","0","58","0","58.0","51","27","8","65","29","1.37","10.14","4.47","4.31","0.4","0.4","600.9","4301"
"Jordan Romano","Blue Jays","3","3","4.14","0","62","6","62.0","56","28","9","67","24","1.29","9.77","3.48","4.28","0.4","0.4","299.9","16122"
"Jaime Barria","Angels","4","5","5.16","10","32","0","75.0","78","43","16","67","25","1.38","8.09","2.98","5.24","0.4","0.3","575.3","18356"
"J.B. Wendelken","Athletics","3","3","4.20","0","60","4","60.0","55","28","8","63","25","1.35","9.39","3.81","4.26","0.4","0.3","499.5","14506"
"Mike Foltynewicz","","4","6","5.46","15","15","0","83.0","90","50","17","65","32","1.48","7.11","3.53","5.55","0.4","0.3","600.5","10811"
"Collin McHugh","","4","4","4.69","6","41","0","72.0","70","37","12","71","29","1.37","8.91","3.63","4.77","0.3","0.4","599.9","7531"
"Giovanny Gallegos","Cardinals","3","3","4.06","0","63","5","63.0","57","28","10","70","22","1.25","9.95","3.07","4.12","0.3","0.4","304.3","14986"
"Tyler Chatwood","Blue Jays","4","4","4.53","5","46","0","67.0","65","34","9","65","35","1.50","8.74","4.73","4.66","0.3","0.4","585.9","4338"
"Joey Lucchesi","Pirates","3","4","4.71","10","10","0","53.0","54","28","9","48","20","1.39","8.15","3.42","4.88","0.3","0.3","574.1","19320"
"Clarke Schmidt","Yankees","2","2","4.83","5","10","0","33.0","33","17","5","29","14","1.44","8.06","3.75","4.91","0.3","0.3","999.0","19899"
"Wes Benjamin","Rangers","4","6","5.25","11","29","0","82.0","88","48","16","65","33","1.47","7.12","3.61","5.47","0.3","0.6","999.0","19243"
"Joakim Soria","","3","3","4.25","0","60","0","60.0","56","28","9","63","23","1.31","9.38","3.38","4.34","0.3","0.4","597.2","6941"
"Keone Kela","Pirates","2","2","3.98","0","48","0","48.0","41","21","7","58","20","1.26","10.81","3.66","4.04","0.3","0.4","570.0","14696"
"Joe Ryan","","2","2","4.58","6","6","0","37.0","35","19","6","36","14","1.32","8.85","3.39","4.77","0.3","0.4","999.0","sa3007584"
"Carlos Hernandez","Royals","3","3","5.07","8","13","0","50.0","51","28","8","43","23","1.48","7.84","4.10","5.09","0.3","0.4","999.0","22713"
"Phil Maton","Indians","3","3","4.04","0","60","0","60.0","54","27","9","66","23","1.28","9.88","3.40","4.16","0.3","0.6","599.1","18064"
"Mike Fiers","","6","10","5.68","24","24","0","137.0","157","86","29","95","44","1.47","6.28","2.89","5.74","0.3","0.1","559.2","7754"
"Damon Jones","Phillies","2","3","4.94","8","8","0","46.0","46","25","7","42","27","1.57","8.20","5.17","5.22","0.3","0.4","999.0","sa3004862"
"Andres Munoz","Mariners","1","1","3.48","0","27","4","27.0","21","10","3","36","14","1.27","11.86","4.61","3.73","0.3","0.4","584.8","20373"
"Rafael Dolis","Blue Jays","3","3","4.28","0","65","2","65.0","60","31","9","71","30","1.38","9.86","4.12","4.34","0.3","0.4","442.6","4185"
"Anibal Sanchez","","7","11","5.51","26","26","0","143.0","158","88","29","112","49","1.45","7.03","3.11","5.46","0.3","0.3","589.6","3284"
"Shaun Anderson","Giants","3","4","4.76","8","18","0","55.0","58","29","8","45","22","1.43","7.27","3.57","4.87","0.3","0.3","999.0","19453"
"Kevin Ginkel","Diamondbacks","3","3","4.27","0","63","8","63.0","56","30","9","73","29","1.34","10.39","4.07","4.29","0.3","0.3","595.8","19876"
"Shun Yamaguchi","Blue Jays","3","2","4.29","0","51","0","51.0","47","24","8","55","20","1.33","9.78","3.60","4.37","0.3","0.3","999.0","27460"
"Chase Anderson","","6","8","5.46","21","21","0","111.0","118","67","23","93","41","1.44","7.51","3.32","5.54","0.3","0.4","595.6","6895"
"Matt Wisler","Giants","3","3","4.20","0","63","7","63.0","59","29","10","65","21","1.27","9.23","2.98","4.24","0.3","0.3","572.8","12804"
"Cody Reed","Rays","2","2","3.69","0","42","0","42.0","37","17","5","45","17","1.29","9.70","3.69","3.92","0.3","0.4","999.0","15232"
"Jeff Hoffman","Reds","3","4","4.63","2","57","0","64.0","61","33","11","68","25","1.35","9.53","3.51","4.67","0.3","0.3","599.5","17432"
"Jose Cisnero","Tigers","3","3","4.50","0","56","0","56.0","52","28","9","60","25","1.38","9.57","3.95","4.53","0.3","0.3","600.8","6399"
"Bryse Wilson","Braves","3","3","4.73","6","16","0","46.0","47","24","7","40","17","1.39","7.80","3.26","4.79","0.3","0.3","574.6","19990"
"Cody Stashak","Twins","3","3","4.50","0","60","1","60.0","57","30","11","61","19","1.28","9.09","2.89","4.59","0.3","0.3","999.0","18088"
"Ty Buttrey","Angels","3","3","4.18","0","56","0","56.0","53","26","8","57","21","1.32","9.12","3.35","4.27","0.3","0.4","598.5","14719"
"Alex Young","Diamondbacks","3","4","4.53","6","41","0","70.0","72","35","11","63","25","1.38","8.10","3.24","4.64","0.3","0.5","999.0","18333"
"Jake McGee","","3","3","4.17","0","54","0","54.0","50","25","9","59","19","1.27","9.76","3.15","4.30","0.3","0.3","999.0","7550"
"T.J. Zeuch","Blue Jays","3","3","5.17","8","13","0","51.0","58","29","7","32","20","1.55","5.67","3.59","5.21","0.3","0.3","999.0","19269"
"Kendall Graveman","Mariners","3","3","4.20","0","63","5","63.0","63","29","9","55","22","1.35","7.92","3.10","4.43","0.3","0.3","596.5","15514"
"Adam Ottavino","Red Sox","3","3","4.41","0","64","6","64.0","56","31","9","74","33","1.40","10.40","4.65","4.36","0.3","0.4","598.2","1247"
"Connor Seabold","Red Sox","2","2","4.99","6","6","0","37.0","39","20","6","30","13","1.40","7.38","3.13","5.00","0.3","0.4","999.0","sa829464"
"Tyler Alexander","Tigers","2","3","4.50","2","44","0","51.0","54","26","9","45","13","1.30","7.90","2.23","4.53","0.3","0.4","999.0","17735"
"Daniel Ponce de Leon","Cardinals","5","7","4.92","15","30","0","93.0","87","51","16","95","47","1.45","9.23","4.57","5.12","0.3","0.5","470.6","16110"
"Evan Marshall","White Sox","3","3","4.12","0","60","0","60.0","58","27","8","58","24","1.36","8.70","3.54","4.32","0.3","0.3","595.3","12297"
"JoJo Romero","Phillies","2","3","4.50","2","39","0","46.0","46","23","7","43","20","1.42","8.36","3.89","4.75","0.3","0.2","999.0","19574"
"Tyson Ross","","4","7","5.53","16","16","0","91.0","102","56","16","68","41","1.57","6.68","4.08","5.48","0.3","0.1","999.0","7872"
"Miguel Yajure","Pirates","3","4","4.99","10","15","0","60.0","65","33","9","45","24","1.47","6.78","3.53","5.02","0.3","0.3","999.0","21111"
"Devin Smeltzer","Twins","4","5","5.02","10","35","0","80.0","85","44","15","63","27","1.40","7.07","3.02","5.22","0.3","0.5","600.5","19487"
"Zac Lowther","Orioles","3","6","5.45","13","13","0","74.0","77","45","15","60","37","1.54","7.35","4.52","5.81","0.3","0.3","999.0","sa915645"
"Brent Suter","Brewers","4","4","4.24","3","63","1","78.0","77","37","13","71","20","1.26","8.21","2.37","4.48","0.3","0.6","557.6","13942"
