"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Joe Dunand","MIA","99","382","344","67","14","1","8","36","31","25","115","7","0","0","",".195",".260",".311",".571",".251","","-0.3","3.0","","-20.6","4.4","-0.4","sa3005360"
"D.J. Artis","CHC","62","260","228","47","7","0","8","28","20","25","84","5","9","2","",".206",".297",".342",".639",".285","","0.7","-1.8","","-7.5","-4.7","-0.4","sa3007632"
"Gilbert Lara","WSN","121","458","433","93","18","2","11","50","46","20","124","2","1","1","",".215",".252",".342",".594",".257","","-0.5","2.0","","-25.8","7.0","-0.4","sa877337"
"Collin Theroux","","69","265","238","37","6","0","7","22","19","23","131","3","0","0","",".155",".238",".269",".507",".229","","-0.2","0.6","","-18.1","5.5","-0.4","sa876102"
"Logan Davidson","OAK","106","454","411","74","17","1","8","53","36","39","146","1","3","1","",".180",".252",".285",".537",".240","","-0.1","2.5","","-26.6","7.5","-0.4","sa918676"
"Gavin Cecchini","","77","302","284","65","13","0","4","33","23","13","57","0","4","1","",".229",".260",".317",".577",".250","","0.2","-0.6","","-16.7","2.7","-0.4","17005"
"Cobie Vance","MIA","106","429","384","82","17","1","5","45","25","33","91","6","6","0","",".214",".283",".302",".585",".262","","0.9","-1.3","","-18.1","0.3","-0.4","sa3006860"
"Brady Policelli","DET","93","361","333","66","14","3","8","37","33","24","101","3","9","3","",".198",".258",".330",".588",".257","","0.3","-5.2","","-17.4","1.4","-0.4","sa918279"
"Dee Strange-Gordon","WSN","80","311","294","75","9","3","3","29","22","9","40","3","9","4","",".255",".282",".337",".618",".269","","-0.1","-3.1","","-14.4","0.3","-0.4","8203"
"Ruben Cardenas","TBR","108","451","416","92","16","3","12","48","48","25","129","3","5","5","",".221",".268",".361",".628",".271","","-1.4","1.4","","-15.5","-3.6","-0.4","sa3007505"
"Sean Kazmar Jr.","","71","244","227","48","9","1","5","22","19","12","40","2","1","0","",".211",".255",".326",".581",".251","","0.0","2.1","","-14.8","3.0","-0.4","7349"
"Nash Knight","","81","311","278","54","12","1","7","33","27","27","84","5","1","2","",".194",".277",".320",".597",".266","","-0.9","-0.2","","-15.3","0.9","-0.4","sa876814"
"Wynton Bernard","","88","285","265","61","12","2","5","27","20","16","62","3","11","2","",".230",".282",".347",".629",".275","","1.2","0.2","","-14.4","1.2","-0.4","sa658999"
"Jake Hoover","","44","156","139","25","7","1","1","14","9","13","51","2","4","1","",".180",".258",".266",".524",".237","","0.3","0.1","","-9.8","0.7","-0.4","sa3010280"
"Stephen Wrenn","","91","376","340","68","14","3","7","41","31","25","123","6","14","3","",".200",".265",".321",".585",".258","","1.3","2.4","","-14.8","-1.7","-0.4","sa738419"
"Nathan Eaton","KCR","97","421","387","83","20","2","6","46","35","28","103","4","12","2","",".214",".273",".323",".596",".263","","1.3","-1.2","","-18.4","0.3","-0.4","sa3007074"
"Elijah Dunham","NYY","96","405","373","80","16","1","11","45","41","27","105","3","13","2","",".214",".272",".351",".623",".272","","1.5","-0.2","","-12.9","-4.7","-0.4","sa3014827"
"Daniel Descalso","","59","170","148","25","5","1","3","16","14","20","50","1","0","0","",".169",".271",".277",".548",".250","","-0.1","-0.7","","-9.6","-0.1","-0.4","8392"
"Zack Zehner","","83","305","277","58","11","2","9","32","31","24","92","1","3","2","",".209",".273",".361",".634",".276","","-0.4","-0.4","","-10.4","-3.8","-0.4","sa829122"
"Buddy Reed","OAK","91","329","296","56","11","2","7","32","29","25","121","3","11","5","",".189",".257",".311",".568",".249","","-0.1","0.6","","-16.8","1.8","-0.4","sa738683"
"Wenceel Perez","DET","119","494","462","108","17","4","6","58","36","26","89","2","12","3","",".234",".276",".327",".603",".264","","0.8","-1.8","","-20.6","0.0","-0.4","sa3003326"
"Andrew Bechtold","MIN","104","404","364","69","17","0","10","37","34","36","147","1","2","1","",".190",".263",".319",".582",".257","","-0.3","1.0","","-20.1","2.5","-0.4","sa829787"
"Luis Mieses","CHW","117","490","460","112","27","2","19","55","63","17","96","3","0","0","",".243",".272",".435",".707",".299","","-0.3","-8.2","","-6.9","-13.6","-0.4","sa3003274"
"Sandy León","CLE","68","196","179","32","5","0","4","15","14","12","54","2","0","0","",".179",".237",".274",".511",".228","","-0.1","0.4","","-14.5","4.0","-0.4","5273"
"Jon Jay","","31","114","107","27","3","0","1","9","5","3","17","1","1","0","",".252",".274",".308",".583",".254","","0.1","-0.7","","-5.8","-2.0","-0.4","5227"
"Toby Welk","BAL","98","403","363","77","15","2","11","44","37","29","103","5","4","2","",".212",".277",".355",".632",".276","","-0.3","-4.3","","-14.7","-2.8","-0.4","sa1170296"
"Jason Delay","PIT","49","176","164","29","6","1","5","15","15","9","58","2","0","0","",".177",".227",".317",".544",".237","","-0.1","-0.7","","-12.2","2.5","-0.4","sa857222"
"Evan Mendoza","STL","102","397","363","79","12","1","2","40","22","24","100","2","7","2","",".218",".267",".273",".540",".240","","0.3","3.1","","-24.5","7.5","-0.4","sa3002836"
"Jon Rosoff","DET","51","169","153","30","5","0","0","12","5","13","39","1","2","1","",".196",".262",".229",".491",".226","","-0.2","0.1","","-12.9","3.2","-0.4","sa3007635"
"Matt Joyce","PHI","51","119","103","21","3","0","2","12","11","13","28","1","0","0","",".204",".297",".291",".588",".263","","-0.1","-0.6","","-6.0","-1.9","-0.4","3353"
"Roy Morales","MIN","85","359","328","87","13","1","1","54","24","23","51","4","3","2","",".265",".319",".320",".639",".285","","-0.6","0.3","","-9.9","-6.3","-0.4","sa829030"
"Billy Hamilton","","100","272","249","50","9","3","2","36","13","18","73","0","16","3","",".201",".253",".285",".538",".238","","1.8","1.4","","-15.6","2.4","-0.4","10199"
"Keon Broxton","","88","267","239","46","5","1","6","25","19","22","116","2","7","2","",".192",".264",".297",".561",".250","","0.4","1.9","","-15.8","2.9","-0.4","9253"
"Irving Lopez","STL","86","317","290","60","12","3","4","33","24","17","73","7","1","1","",".207",".267",".310",".577",".254","","-0.4","0.8","","-16.5","2.0","-0.4","sa3002878"
"Antoine Duplantis","NYM","96","419","390","82","13","2","7","40","28","24","96","2","4","3","",".210",".258",".308",".566",".249","","-0.8","3.1","","-22.6","4.6","-0.4","sa3011224"
"Ethan Paul","PIT","50","173","153","28","6","0","1","20","9","18","59","2","3","0","",".183",".277",".242",".519",".242","","0.5","0.3","","-10.8","0.9","-0.4","sa3011423"
"Carlos Cortes","NYM","98","412","369","77","16","2","11","45","44","33","105","3","2","2","",".209",".276",".352",".629",".274","","-0.7","0.3","","-13.5","-4.2","-0.4","sa3008079"
"Ryder Jones","","72","280","256","59","13","1","7","31","29","13","67","4","1","1","",".230",".275",".371",".646",".279","","-0.4","0.2","","-8.8","-4.9","-0.4","15982"
"Ryan Zimmerman","","84","220","207","48","11","0","8","19","34","11","55","0","0","0","",".232",".268",".401",".669",".286","","-0.1","-0.3","","-7.1","-4.3","-0.4","4220"
"Marcos Gonzalez","CLE","69","256","236","51","11","0","9","22","21","16","85","2","0","2","",".216",".271",".377",".648",".280","","-1.0","0.5","","-8.7","-4.2","-0.4","sa3003311"
"Tyreque Reed","BOS","95","388","346","76","19","0","12","46","42","32","122","5","2","1","",".220",".293",".379",".671",".292","","-0.3","0.1","","-10.4","-7.0","-0.4","sa3004163"
"CJ Alexander","ATL","80","306","281","53","11","2","10","26","26","22","101","1","8","1","",".189",".249",".349",".598",".260","","1.0","0.1","","-15.6","1.2","-0.4","sa3006912"
"Cole Freeman","WSN","104","446","406","97","18","2","5","54","35","25","65","8","11","4","",".239",".295",".330",".625",".276","","0.2","-3.2","","-17.4","-1.6","-0.4","sa915838"
"Erik González","MIA","80","245","231","53","10","1","3","21","21","10","53","1","3","2","",".229",".262",".320",".583",".254","","-0.4","-0.4","","-12.9","0.5","-0.4","13369"
"Oliver Dunn","NYY","74","266","237","43","7","1","7","25","20","26","84","1","6","3","",".181",".264",".308",".572",".255","","-0.2","-0.8","","-13.5","0.2","-0.4","sa3010595"
"Erick Mejia","SEA","100","418","381","89","18","3","6","46","36","28","85","2","7","4","",".234",".287",".344",".631",".275","","-0.6","1.9","","-15.8","-2.7","-0.4","15817"
"Matt Scheffler","SEA","62","248","225","43","6","0","7","29","24","18","74","3","1","1","",".191",".259",".311",".570",".253","","-0.4","-5.3","","-12.0","-0.7","-0.4","sa3014832"
"Niko Hulsizer","TBR","92","373","330","59","15","1","13","43","42","36","155","5","5","1","",".179",".268",".348",".617",".270","","0.3","-1.4","","-11.5","-5.5","-0.4","sa3007053"
"Yunior Severino","MIN","100","430","391","87","23","1","9","53","42","31","134","4","2","0","",".223",".285",".355",".641",".280","","0.1","-7.8","","-12.8","-6.2","-0.4","sa3003185"
"Cameron Maybin","","64","219","198","43","9","0","4","23","18","18","57","2","4","2","",".217",".288",".323",".611",".272","","-0.2","-1.7","","-7.5","-4.1","-0.4","5223"
"Tanner Nishioka","","63","222","201","44","11","0","4","21","19","11","68","6","1","1","",".219",".276",".333",".609",".267","","-0.4","-2.2","","-10.6","-1.4","-0.4","sa3002754"
"Joe Hudson","","49","174","157","28","6","0","3","16","13","13","49","0","0","0","",".178",".238",".274",".512",".225","","-0.1","0.4","","-13.8","3.6","-0.4","14412"
"Kyle Schmidt","MIN","43","165","149","29","5","0","1","16","8","13","47","2","0","1","",".195",".267",".248",".515",".236","","-0.5","-1.5","","-11.6","1.5","-0.4","sa3010707"
"Trey Cabbage","LAA","105","416","382","78","16","2","19","46","56","29","169","3","4","0","",".204",".265",".406",".671",".287","","0.6","-4.1","","-9.9","-8.7","-0.4","sa875022"
"Rocky Gale","","41","144","138","30","4","1","1","11","8","3","31","1","0","0","",".217",".238",".283",".520",".227","","-0.1","0.4","","-12.3","3.0","-0.5","10533"
"Levi Jordan","CHC","71","268","242","50","9","1","5","30","22","17","75","4","2","1","",".207",".268",".314",".582",".257","","-0.2","0.5","","-14.8","1.5","-0.5","sa3007976"
"Chandler Seagle","SDP","44","154","139","23","6","0","2","15","11","9","49","3","0","0","",".165",".229",".252",".481",".216","","-0.1","0.4","","-12.8","3.2","-0.5","sa3003969"
"Logan Warmoth","TOR","98","388","342","64","13","2","7","43","29","35","141","6","8","2","",".187",".272",".298",".570",".256","","0.5","1.5","","-20.7","2.9","-0.5","sa3004813"
"Troy Stokes Jr.","","98","326","285","55","14","1","9","33","27","33","92","6","9","1","",".193",".288",".344",".632",".280","","1.1","-1.3","","-10.5","-4.9","-0.5","17478"
"Stuart Fairchild","ARI","95","379","338","74","16","3","8","40","36","31","102","7","7","4","",".219",".296",".355",".651",".287","","-0.6","-0.6","","-12.4","-4.8","-0.5","20321"
"Ray-Patrick Didder","MIA","98","364","322","60","13","2","5","38","23","31","107","8","11","4","",".186",".273",".286",".558",".253","","0.3","-2.1","","-18.6","1.9","-0.5","sa736824"
"C.J. Stubbs","HOU","82","333","307","61","10","1","9","30","25","21","128","3","4","4","",".199",".256",".326",".582",".255","","-1.1","-5.2","","-16.9","0.9","-0.5","sa3010328"
"TJ Hopkins","CIN","68","269","245","56","10","3","5","31","23","18","74","2","3","1","",".229",".285",".355",".640",".279","","0.0","0.6","","-11.2","-2.4","-0.5","sa1053018"
"Dominic Fletcher","","98","427","394","92","17","4","10","45","39","21","115","5","2","2","",".234",".279",".373",".652",".282","","-0.7","1.7","","-15.8","-3.0","-0.5","sa1115778"
"Simon Whiteman","SFG","90","384","341","68","12","1","3","42","20","37","116","4","17","4","",".199",".285",".267",".551",".252","","1.4","0.2","","-19.0","1.6","-0.5","sa1169809"
"Jarrod Dyson","","102","212","193","39","6","2","2","25","13","15","41","0","14","5","",".202",".258",".285",".543",".241","","0.6","0.8","","-13.5","1.6","-0.5","4866"
"Nathan Lukes","TOR","85","316","287","71","16","1","5","38","31","18","58","3","3","2","",".247",".295",".362",".657",".286","","-0.5","-2.1","","-9.9","-5.6","-0.5","sa875215"
"Jim Haley","TBR","97","387","359","70","13","1","10","36","35","19","126","6","11","3","",".195",".246",".320",".566",".248","","0.7","-0.6","","-18.7","0.8","-0.5","sa918418"
"D.J. Peterson","","47","182","169","37","9","0","5","18","19","9","50","2","1","0","",".219",".265",".361",".626",".269","","0.1","-0.6","","-10.9","0.1","-0.5","sa549926"
"Bryce Ball","CHC","107","436","377","73","19","1","17","54","51","53","125","1","0","0","",".194",".293",".385",".677",".296","","-0.3","-0.9","","-10.3","-8.9","-0.5","sa1170451"
"Chavez Young","TOR","93","375","340","70","13","2","7","42","30","26","112","3","12","5","",".206",".266",".318",".584",".257","","0.0","1.1","","-20.0","2.5","-0.5","sa918963"
"Alfredo Rodriguez","CIN","111","434","400","99","16","2","3","51","28","21","80","5","4","4","",".248",".291",".320",".611",".268","","-1.2","2.4","","-23.1","4.0","-0.5","sa922180"
"Jake Scheiner","SEA","108","456","415","90","18","2","16","50","54","29","134","6","2","3","",".217",".275",".386",".661",".284","","-1.2","-1.2","","-10.7","-9.6","-0.5","sa3004160"
"Jacob Nottingham","BAL","72","255","229","45","11","0","10","28","33","18","90","6","2","1","",".197",".271",".376",".646",".281","","-0.2","-0.6","","-8.2","-5.3","-0.5","16448"
"Phil Gosselin","","97","332","304","71","13","1","5","33","33","23","71","2","2","1","",".234",".290",".332",".622",".274","","-0.3","-0.5","","-12.0","-4.2","-0.5","10953"
"Matt Wallner","MIN","72","317","290","61","14","1","12","35","39","20","116","7","0","1","",".210",".278",".390",".667",".290","","-0.6","-4.5","","-7.7","-8.0","-0.5","sa918808"
"Magneuris Sierra","","139","427","399","93","12","5","3","44","24","23","86","2","17","5","",".233",".278",".311",".588",".257","","1.0","-0.9","","-20.1","0.7","-0.5","17023"
"Ryne Ogren","BAL","77","299","273","53","10","1","5","30","22","19","75","4","1","0","",".194",".256",".293",".549",".244","","0.0","-2.1","","-18.5","3.4","-0.5","sa3006726"
"Lorenzo Quintana","MIA","74","281","261","61","12","1","7","28","25","13","60","5","2","1","",".234",".282",".368",".650",".283","","-0.2","-1.3","","-7.8","-6.5","-0.5","sa3005394"
"Bubba Starling","","95","332","310","70","13","1","7","35","27","18","80","1","4","1","",".226",".269",".342",".611",".266","","0.1","-3.0","","-14.5","-1.8","-0.5","13356"
"Blake Swihart","","68","198","181","36","6","1","6","22","20","15","53","1","1","1","",".199",".263",".343",".605",".265","","-0.4","0.7","","-10.1","-1.5","-0.5","13176"
"Troy Johnston","MIA","108","463","421","98","18","1","10","61","46","35","111","4","3","1","",".233",".297",".352",".648",".284","","-0.2","0.2","","-12.0","-8.3","-0.5","sa3010899"
"Ali Castillo","PHI","95","333","307","74","12","3","4","35","27","17","52","2","3","3","",".241",".282",".339",".621",".270","","-0.9","-1.7","","-15.6","-0.5","-0.5","sa507143"
"Bligh Madris","PIT","115","430","384","86","21","2","8","49","41","35","95","3","2","3","",".224",".291",".352",".643",".281","","-1.2","0.7","","-15.2","-4.0","-0.5","sa3004165"
"Tyler Neslony","CHW","74","279","256","54","13","1","6","28","25","20","74","2","2","2","",".211",".272",".340",".612",".267","","-0.6","0.3","","-11.8","-2.8","-0.5","sa918131"
"Eric Stamets","","71","247","227","48","7","2","4","21","17","16","65","2","5","1","",".211",".268",".313",".581",".257","","0.4","1.0","","-17.0","3.7","-0.5","13795"
"Jancarlos Cintron","ARI","92","372","348","81","15","1","5","36","28","17","64","4","7","3","",".233",".275",".325",".600",".263","","-0.1","0.3","","-19.0","1.7","-0.5","sa3004065"
"Ryan Cordell","","71","233","210","42","8","0","8","21","26","16","76","2","5","1","",".200",".261",".352",".613",".267","","0.4","0.3","","-10.5","-2.3","-0.5","15181"
"Will Benson","CLE","113","464","402","72","15","3","18","50","51","54","179","3","12","3","",".179",".279",".366",".644",".280","","0.8","-2.6","","-13.1","-7.7","-0.5","sa917927"
"Jake Guenther","TEX","85","326","293","66","11","0","6","42","28","22","70","6","1","1","",".225",".291",".324",".615",".273","","-0.5","-0.9","","-11.7","-4.5","-0.5","sa3011263"
"Trace Loehr","","80","311","290","61","13","1","3","28","21","17","76","2","4","3","",".210",".258",".293",".551",".242","","-0.7","1.4","","-18.2","2.5","-0.5","sa829044"
"Fabricio Macias","PIT","104","408","384","98","17","2","5","49","37","16","96","6","9","6","",".255",".294",".349",".643",".281","","-1.0","0.1","","-14.2","-4.4","-0.5","sa927338"
"Gerardo Parra","","79","215","197","45","8","0","4","25","25","13","45","3","3","2","",".228",".285",".330",".615",".270","","-0.4","0.2","","-10.1","-2.2","-0.5","8553"
"Jorge Bonifacio","","99","396","359","78","17","2","11","42","43","30","95","3","3","2","",".217",".281",".368",".649",".281","","-0.5","0.5","","-14.4","-3.9","-0.5","12174"
"Ryan Vilade","COL","120","524","476","122","25","4","10","57","39","34","102","3","10","4","",".256",".306",".389",".695",".300","","-0.1","1.4","","-18.2","-4.4","-0.5","22165"
"Armani Smith","SFG","86","357","333","79","12","2","10","46","36","19","99","3","3","1","",".237",".284",".375",".659",".286","","-0.1","-3.9","","-9.2","-7.8","-0.5","sa918911"
"Johneshwy Fargas","","90","319","293","62","8","3","6","29","25","17","82","6","20","9","",".212",".268",".321",".589",".260","","0.0","-0.2","","-16.8","1.0","-0.5","16446"
"Michael Curry","","83","324","292","58","13","1","8","37","30","29","101","2","2","0","",".199",".275",".332",".607",".268","","0.2","0.2","","-12.6","-3.4","-0.5","sa3006653"
"Terrance Gore","","52","103","92","17","3","1","0","9","3","9","31","1","10","3","",".185",".265",".239",".504",".232","","0.7","-0.3","","-7.3","-1.4","-0.5","13658"
"Darius Hill","CHC","71","316","295","77","8","1","7","40","25","17","60","1","3","3","",".261",".302",".366",".668",".290","","-0.9","-2.6","","-9.7","-6.1","-0.5","sa3010395"
"Tevin Mitchell","MIA","34","102","91","14","3","1","2","8","6","8","36","2","1","1","",".154",".238",".275",".512",".231","","-0.3","-0.2","","-7.4","-1.3","-0.5","sa3011157"
"LT Struble","","30","93","84","14","2","0","1","10","5","9","36","0","2","1","",".167",".247",".226",".474",".219","","-0.1","-0.2","","-7.2","-1.2","-0.5","sa3010910"
"Kevin Vicuña","","100","385","353","74","14","2","5","43","26","20","98","7","10","5","",".210",".264",".303",".568",".251","","-0.4","1.0","","-23.3","5.2","-0.5","sa872466"
"Luis Castro","","90","382","334","68","13","1","12","43","36","34","126","10","4","1","",".204",".293",".356",".649",".287","","0.1","0.6","","-11.6","-6.4","-0.5","sa736954"
"Eduardo Diaz","ARI","90","394","365","81","15","3","14","44","42","18","110","6","8","3","",".222",".268",".395",".662",".283","","0.1","-0.6","","-13.5","-4.9","-0.5","sa917182"
"Jake Gatewood","LAA","104","433","401","71","14","1","19","42","56","24","183","4","3","1","",".177",".229",".359",".588",".252","","0.0","1.8","","-23.5","3.4","-0.5","sa828685"
"Justin Williams","HOU","44","177","164","30","6","0","8","18","19","11","62","2","2","2","",".183",".243",".366",".609",".263","","-0.5","-1.2","","-8.2","-3.2","-0.5","sa3017076"
"Luken Baker","STL","103","426","390","86","20","0","14","41","46","30","122","2","0","0","",".221",".278",".379",".658",".285","","-0.3","-0.7","","-11.0","-8.5","-0.5","sa3008267"
"Jacob Heyward","SFG","94","353","300","51","12","0","11","33","30","44","126","6","3","3","",".170",".287",".320",".607",".274","","-0.9","0.2","","-13.5","-3.7","-0.6","sa738955"
"Nick Plummer","NYM","109","431","367","67","15","3","10","49","34","51","155","10","6","4","",".183",".298",".322",".619",".279","","-0.8","-2.6","","-12.4","-7.4","-0.6","sa874684"
"Christopher Morel","CHC","109","440","400","83","16","3","16","50","55","32","135","2","11","2","",".208",".268",".383",".650",".280","","1.1","-7.1","","-14.6","-5.5","-0.6","sa3003171"
"Brennon Lund","LAA","79","328","300","60","13","2","8","32","30","20","99","4","3","2","",".200",".257",".337",".594",".259","","-0.4","-1.6","","-16.3","-0.4","-0.6","sa857730"
"Taylor Kohlwey","SDP","107","407","360","82","15","2","8","52","36","35","112","4","6","3","",".228",".300",".347",".647",".285","","-0.4","-0.9","","-10.7","-8.4","-0.6","sa918457"
"Pedro Florimón","","93","334","302","58","10","2","5","35","26","27","108","1","4","1","",".192",".258",".288",".546",".243","","0.1","-0.4","","-19.9","3.3","-0.6","8385"
"Aldrich De Jongh","LAD","64","222","208","42","8","1","7","22","22","12","74","1","3","0","",".202",".248",".351",".599",".259","","0.5","-0.2","","-10.3","-2.6","-0.6","sa3007974"
"Joseph Odom","","71","260","242","44","10","0","4","21","20","15","92","2","0","0","",".182",".236",".273",".508",".226","","-0.2","-1.4","","-17.8","3.4","-0.6","15535"
"Michael Siani","CIN","104","442","400","82","12","3","9","43","28","35","111","4","19","7","",".205",".275",".318",".593",".263","","0.5","1.8","","-23.6","3.4","-0.6","sa3008182"
"Logan Forsythe","","82","275","245","51","10","0","4","23","21","27","69","2","1","0","",".208",".291",".298",".589",".266","","0.0","-2.6","","-13.1","-1.6","-0.6","7185"
"Dexter Fowler","","110","411","360","77","14","1","10","45","41","42","100","5","5","3","",".214",".302",".342",".644",".285","","-0.6","-3.7","","-11.4","-8.2","-0.6","4062"
"Julian Escobedo","CLE","66","272","254","51","11","1","5","29","22","16","82","2","6","3","",".201",".254",".311",".565",".249","","-0.2","-0.4","","-15.5","0.6","-0.6","sa3010030"
"DaShawn Keirsey","MIN","45","175","157","27","3","1","4","15","15","14","59","1","4","1","",".172",".241",".280",".522",".232","","0.3","-0.4","","-11.9","0.2","-0.6","sa3007301"
"Josh Palacios","TOR","69","287","255","54","11","1","5","29","24","25","82","4","5","3","",".212",".290",".322",".612",".271","","-0.5","0.2","","-12.5","-3.0","-0.6","19818"
"Camden Duzenack","ARI","88","350","321","62","12","2","10","35","34","19","107","6","5","2","",".193",".249",".336",".586",".255","","-0.1","1.6","","-20.2","2.9","-0.6","sa873988"
"Tim Susnara","CHC","54","207","185","30","5","1","4","17","13","19","80","1","0","0","",".162",".243",".265",".508",".229","","-0.1","-0.2","","-16.2","3.6","-0.6","sa829699"
"Will Banfield","MIA","77","335","311","54","10","1","7","34","29","18","105","3","1","0","",".174",".225",".280",".504",".222","","0.0","2.7","","-25.7","8.9","-0.6","sa3007973"
"Alex Blandino","","81","248","207","39","9","1","2","26","14","29","67","10","1","1","",".188",".316",".271",".586",".274","","-0.4","-0.3","","-9.1","-4.9","-0.6","16271"
"Lewis Brinson","MIA","117","406","376","81","17","2","10","37","42","23","111","5","5","2","",".215",".269",".351",".620",".269","","-0.1","0.7","","-15.5","-3.8","-0.6","14352"
"Livan Soto","LAA","104","451","414","86","13","4","11","47","36","29","103","2","8","3","",".208",".261",".338",".599",".261","","0.0","-5.3","","-20.9","-0.3","-0.6","sa3004264"
"Brian Miller","MIA","115","458","423","101","18","3","3","49","31","27","96","3","20","6","",".239",".288",".317",".605",".266","","1.1","-5.3","","-17.4","-3.6","-0.6","20047"
"David Thompson","","85","314","285","56","13","1","8","32","30","20","88","7","7","1","",".196",".264",".333",".598",".263","","0.8","1.5","","-12.0","-4.3","-0.6","sa659290"
"D.J. Stewart","PHI","96","400","370","87","14","2","12","52","45","22","90","3","4","1","",".235",".281",".381",".662",".286","","0.1","-2.4","","-12.3","-6.8","-0.6","sa3005181"
"Nick Heath","ARI","87","314","277","53","9","3","4","30","22","29","113","2","18","7","",".191",".271",".289",".560",".250","","0.4","1.5","","-18.9","2.7","-0.6","19577"
"Michael Wielansky","HOU","51","186","168","29","5","1","2","17","10","16","52","2","1","1","",".173",".253",".250",".503",".230","","-0.4","0.2","","-13.1","0.9","-0.6","sa3006730"
"Hamlet Marte","","56","196","179","32","6","1","4","18","18","13","71","1","1","1","",".179",".236",".291",".526",".232","","-0.3","-1.8","","-14.2","1.8","-0.6","sa597218"
"Ka'ai Tom","SFG","101","374","333","70","13","4","10","40","43","31","109","7","3","3","",".210",".289",".363",".652",".283","","-0.9","-2.9","","-11.3","-7.0","-0.6","18136"
"Kody Hoese","LAD","71","289","266","54","10","1","6","33","27","16","71","2","2","1","",".203",".251",".316",".567",".248","","-0.2","0.3","","-16.9","1.4","-0.6","sa3010021"
"Anderson Miller","","73","273","253","54","9","1","7","28","25","16","73","2","5","3","",".213",".265",".340",".605",".262","","-0.4","1.0","","-13.3","-2.0","-0.6","sa857824"
"Garrett Wolforth","CIN","78","303","285","55","10","2","10","30","33","15","101","1","1","1","",".193",".235",".347",".582",".249","","-0.4","-1.2","","-20.4","4.4","-0.6","sa876111"
"Bryant Packard","DET","89","366","332","70","16","0","10","38","33","26","107","5","4","2","",".211",".277",".349",".626",".275","","-0.3","-1.4","","-13.1","-5.4","-0.6","sa3010590"
"Korry Howell","MIL","99","412","374","75","14","2","13","43","38","31","140","6","11","4","",".201",".273",".353",".625",".274","","0.2","-4.8","","-16.5","-3.3","-0.6","sa3008238"
"Donovan Casey","WSN","115","495","458","97","19","3","13","50","45","30","173","4","11","2","",".212",".265",".352",".617",".268","","1.0","-2.5","","-21.8","-0.7","-0.6","sa915654"
"Carter Aldrete","SFG","80","295","274","55","10","1","7","33","27","19","93","1","5","2","",".201",".254",".321",".575",".251","","0.0","-0.9","","-16.1","0.2","-0.6","sa3010008"
"Ben Ruta","","88","362","330","68","15","2","7","37","29","26","86","1","9","5","",".206",".264",".327",".591",".259","","-0.5","3.4","","-17.6","-0.6","-0.6","sa918694"
"Max Burt","NYY","96","351","322","63","10","1","8","37","30","20","98","5","4","2","",".196",".251",".307",".559",".246","","-0.3","0.8","","-20.4","2.1","-0.6","sa3007631"
"Demetrius Sims","MIA","86","330","294","52","11","1","5","30","20","26","120","7","8","4","",".177",".258",".272",".530",".239","","-0.3","0.2","","-21.1","3.8","-0.6","sa3004390"
"K.J. Harrison","WSN","96","362","331","71","16","1","12","37","37","26","109","3","0","0","",".215",".277",".378",".655",".283","","-0.2","0.8","","-12.5","-5.9","-0.6","sa829382"
"Wagner Lagrange","","86","340","314","70","14","2","7","35","31","18","80","3","2","1","",".223",".269",".347",".616",".268","","-0.3","-1.2","","-12.7","-4.9","-0.6","sa875875"
"Danny Edgeworth","COL","56","197","179","37","7","0","5","19","15","14","63","3","2","1","",".207",".276",".330",".605",".266","","-0.2","-1.2","","-12.5","-0.5","-0.6","sa3002880"
"Chandler Redmond","STL","87","358","327","69","14","0","12","41","40","27","131","3","2","1","",".211",".277",".364",".640",".278","","-0.3","-0.5","","-11.2","-7.1","-0.6","sa1170749"
"Brendt Citta","PIT","48","187","171","38","9","1","2","21","16","11","44","4","1","1","",".222",".283",".322",".605",".266","","-0.4","-0.5","","-8.8","-3.9","-0.7","sa3007633"
"Doran Turchin","","81","325","289","54","13","1","10","31","29","27","119","6","4","2","",".187",".269",".343",".611",".269","","-0.3","-0.3","","-13.7","-3.9","-0.7","sa3006680"
"Tristan Pompey","MIA","56","192","171","33","7","0","3","24","15","18","63","1","1","1","",".193",".272",".287",".559",".252","","-0.4","-0.4","","-10.4","-2.5","-0.7","sa3008077"
"Devin Mann","LAD","105","426","378","81","19","1","14","51","51","34","117","7","3","3","",".214",".288",".381",".669",".291","","-1.0","-2.7","","-10.2","-10.5","-0.7","sa3006869"
"Francisco Arcia","","58","193","182","37","5","0","2","15","12","6","41","3","1","1","",".203",".240",".264",".503",".221","","-0.3","-1.1","","-15.7","2.4","-0.7","10286"
"Dwanya Williams-Sutton","SDP","81","311","261","46","8","1","7","36","25","34","104","14","5","2","",".176",".303",".295",".598",".276","","-0.1","-3.2","","-10.4","-6.6","-0.7","sa875819"
"Kyle McCann","OAK","85","343","308","46","9","1","9","35","30","30","136","3","0","0","",".149",".231",".273",".504",".225","","-0.2","-0.2","","-24.5","6.1","-0.7","sa1159677"
"Rudy Martin","WSN","87","325","291","58","11","2","7","36","28","27","109","3","12","4","",".199",".273",".323",".596",".264","","0.5","0.1","","-14.3","-3.5","-0.7","sa829374"
