"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Anthony Volpe","NYY","108","501","447","107","21","2","25","62","73","40","113","8","14","3","",".239",".311",".463",".774",".330","","1.2","-2.3","","7.2","3.2","2.8","sa3010868"
"Jose Miranda","MIN","128","566","524","143","32","1","18","75","73","29","81","8","2","2","",".273",".319",".441",".760",".326","","-0.9","2.7","","3.5","4.8","2.8","sa917952"
"Byron Buxton","MIN","86","321","298","79","22","2","19","49","49","15","79","4","10","2","",".265",".307",".544",".851",".356","","1.0","3.3","","11.4","4.5","2.7","14161"
"George Valera","CLE","98","406","343","86","6","2","26","67","65","51","114","5","7","4","",".251",".352",".507",".860",".365","","-0.6","1.9","","15.5","-2.6","2.7","sa3006872"
"Luis Arraez","MIN","137","553","497","150","27","4","4","70","44","50","51","1","3","3","",".302",".363",".396",".760",".332","","-1.2","0.1","","5.8","2.1","2.7","18568"
"Christian Yelich","MIL","116","492","418","111","21","3","21","75","66","68","116","4","12","3","",".266",".372",".481",".853",".364","","0.7","-1.3","","17.0","-6.7","2.7","11477"
"Max Kepler","MIN","120","494","433","104","26","3","22","68","64","52","86","6","7","2","",".240",".328",".467",".794",".339","","0.2","5.8","","9.2","0.4","2.6","12144"
"Ramón Laureano","OAK","104","427","379","96","23","2","18","58","54","32","115","11","12","4","",".253",".326",".467",".793",".338","","0.4","0.0","","10.2","1.6","2.6","17128"
"Jesse Winker","CIN","113","443","382","109","26","1","19","64","61","53","74","8","1","0","",".285",".384",".508",".892",".383","","-0.2","-2.9","","19.3","-7.8","2.6","13590"
"Josh Jung","TEX","106","472","430","113","29","0","17","53","46","33","106","6","4","2","",".263",".323",".449",".772",".330","","-0.4","2.8","","5.5","4.5","2.6","sa3011468"
"George Springer","TOR","93","409","360","94","18","2","20","65","57","42","84","5","4","2","",".261",".345",".489",".834",".356","","-0.4","-0.4","","11.0","1.1","2.6","12856"
"Isiah Kiner-Falefa","TEX","146","606","565","156","22","4","9","69","43","29","84","9","17","5","",".276",".321",".377",".698",".304","","0.8","3.2","","-4.5","9.9","2.6","16512"
"Jared Walsh","LAA","139","551","495","132","30","2","30","72","99","47","141","5","2","1","",".267",".334",".517",".851",".357","","-0.4","-0.6","","17.9","-10.7","2.6","18607"
"Paul DeJong","STL","123","481","424","97","21","1","20","61","62","42","121","10","5","2","",".229",".310",".425",".734",".316","","-0.2","4.5","","0.1","9.8","2.6","18015"
"Anthony Rendon","LAA","98","429","370","99","23","1","15","56","63","48","63","6","1","0","",".268",".357",".457",".813",".348","","-0.2","-1.1","","10.7","0.5","2.6","12861"
"Harrison Bader","STL","123","421","374","92","21","2","16","54","50","34","105","10","9","3","",".246",".323",".441",".764",".325","","0.2","6.6","","3.6","8.1","2.6","18030"
"Jeff McNeil","NYM","121","476","430","120","25","2","12","57","49","32","63","12","4","2","",".279",".345",".430",".775",".336","","-0.5","-0.9","","9.0","0.8","2.6","15362"
"Nathaniel Lowe","TEX","148","606","524","137","27","2","23","78","76","76","150","3","6","0","",".261",".356",".452",".809",".349","","0.6","-1.6","","17.5","-12.7","2.5","19566"
"Isaac Paredes","DET","113","461","395","102","17","3","14","62","48","54","70","4","1","1","",".258",".349",".423",".772",".335","","-0.6","1.5","","6.4","3.2","2.5","20036"
"Willson Contreras","CHC","113","435","375","89","18","1","19","54","58","44","116","13","3","3","",".237",".336",".443",".778",".336","","-1.0","-0.8","","3.7","7.2","2.5","11609"
"Dansby Swanson","ATL","143","587","530","134","31","3","22","75","76","46","141","5","8","3","",".253",".316",".447",".763",".323","","-0.1","0.1","","-0.9","6.6","2.5","18314"
"Franmil Reyes","CLE","132","505","452","117","20","1","33","65","92","47","158","1","2","1","",".259",".327",".527",".853",".358","","-0.4","-3.2","","16.7","-8.8","2.5","14566"
"Myles Straw","CLE","146","570","509","136","24","3","4","75","37","55","112","2","27","5","",".267",".339",".350",".689",".306","","2.7","5.5","","-2.1","7.6","2.5","17620"
"Andy Pages","LAD","118","524","467","110","21","1","31","71","105","42","150","11","4","2","",".236",".312",".484",".796",".338","","-0.4","-3.1","","8.7","-1.2","2.5","sa3005625"
"Nick Pratto","KCR","124","534","462","114","25","4","25","67","68","54","152","6","8","3","",".247",".330",".481",".810",".344","","-0.1","5.1","","10.8","-4.7","2.4","sa3004138"
"Amed Rosario","CLE","149","600","562","155","28","7","15","78","64","31","122","3","14","4","",".276",".316",".431",".746",".319","","0.7","-4.9","","2.1","1.7","2.4","15518"
"Michael Conforto","","126","514","438","110","24","1","19","63","69","63","114","10","3","2","",".251",".356",".441",".797",".344","","-0.7","-0.2","","13.0","-5.9","2.4","16376"
"Tyler Stephenson","CIN","127","408","354","94","20","0","11","55","45","43","84","6","0","0","",".266",".350",".415",".766",".333","","-0.4","2.1","","1.0","9.6","2.4","17988"
"Brayan Rocchio","CLE","111","501","464","122","23","4","15","68","59","26","111","9","14","6","",".263",".314",".427",".741",".319","","-0.1","0.1","","1.0","5.6","2.4","sa3005898"
