Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Cole Roederer","CHC",96,388,350,76,52,13,2,9,36,43,31,7,116,3,4,0,1,6,2,0.217143,0.0798969,0.298969,0.267241,0.283505,0.342857,0.268019,0.626362,0.125714,4.62496,0.292576,,-0.252861,31.049,-16.2265,65.7729,-0.252861,-1.8,-16.704900562763214,-6.0768959522247314,-0.953992,999,,,,"sa3008184"
"Zach Zubia","MIA",99,361,311,66,46,11,0,9,34,37,45,9,119,3,2,0,0,0,1,0.212219,0.124654,0.32964,0.378151,0.315789,0.334405,0.2828,0.650195,0.122186,1.28125,0.308108,,-1.07701,33.3199,-10.6659,74.2677,-1.07701,0,-12.585150241851807,-9.284979820251465,-0.954782,999,,,,"sa3016861"
"Colby Thomas","OAK",127,568,528,116,73,28,3,12,64,65,25,10,168,12,1,2,0,13,4,0.219697,0.0440141,0.295775,0.14881,0.270318,0.352273,0.264671,0.622591,0.132576,5.98401,0.297994,,0.141176,43.8738,-25.3337,69.1348,0.141176,-1.8,-20.865153074264526,-8.061022996902466,-0.960069,999,,,,"sa3020713"
"Andrew Moritz",,79,300,277,66,55,9,1,1,32,24,20,3,71,2,1,0,0,4,2,0.238267,0.0666667,0.236667,0.28169,0.293333,0.288809,0.257874,0.582142,0.0505415,4.3093,0.315534,,-0.614335,21.4795,-15.0738,56.5963,-0.614335,0.2,-16.74553793668747,-3.106878325343132,-0.960753,999,,,,"sa3007054"
"Nelson Maldonado",,92,364,332,79,53,19,1,6,36,39,26,7,82,3,2,1,0,1,1,0.237952,0.0714286,0.225275,0.317073,0.297521,0.355422,0.279212,0.652942,0.11747,2.8444,0.296748,,-0.799962,32.5123,-11.839,73.2769,-0.799962,-2.5,-12.850494682788849,-9.187242984771729,-0.961307,999,,,,"sa3010389"
"Jordan Nwogu","CHC",101,398,363,75,50,11,2,12,43,48,24,6,146,8,2,1,0,9,5,0.206612,0.0603015,0.366834,0.164384,0.269521,0.347107,0.26427,0.616629,0.140496,5.35287,0.304348,,-0.89598,30.61,-17.884,63.2596,-0.89598,0.2,-19.011261641979218,-4.187125012278557,-0.961571,999,,,,"sa3014530"
"Wilfred Veras","CHW",138,592,560,136,85,29,2,20,69,81,22,19,166,5,5,0,2,11,3,0.242857,0.0371622,0.280405,0.13253,0.275338,0.408929,0.279271,0.684266,0.166071,4.97471,0.306069,,0.217189,52.9059,-19.2259,73.6148,0.217189,-4.8,-18.498878866434097,-11.325573444366455,-0.968331,999,,,,"sa3015178"
"Walking Cabrera",,94,388,359,75,51,15,2,7,41,38,22,6,117,3,4,0,0,5,1,0.208914,0.056701,0.301546,0.188034,0.257732,0.320334,0.246452,0.578066,0.111421,5.3064,0.284519,,0.0385633,24.0995,-23.1761,56.1498,0.0385633,-4,-20.347600392997265,-2.5743680000305176,-0.971182,999,,,,"sa3005240"
"Jared Carr","PHI",108,405,364,76,58,13,2,3,41,34,32,6,121,6,2,1,0,11,5,0.208791,0.0790123,0.298765,0.264463,0.282178,0.28022,0.248632,0.562398,0.0714286,5.53509,0.301653,,-0.603851,25.8886,-23.4583,51.2847,-0.603851,0,-25.045976638793945,1.4880952835083008,-0.973645,999,,,,"sa3017343"
"Davis Bradshaw","MIA",96,369,339,85,69,11,3,2,36,36,17,5,71,9,1,3,1,3,4,0.250737,0.0460705,0.192412,0.239437,0.303279,0.318584,0.271956,0.621863,0.0678466,4.16178,0.310861,,-1.78177,30.7352,-14.2253,66.9982,-1.78177,-1.4,-16.8680579662323,-5.467460513114929,-0.97402,999,,,,"sa3007031"
