"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Alan Strong","TBR","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.38","7.76","3.59","4.80","0.0","0.0","sa3006768"
"Brett Cecil","","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.48","7.12","3.94","4.97","0.0","0.0","2660"
"Ronald Ball","","0","0","4.60","0","1","0","1.0","1","1","0","1","0","1.47","7.63","4.09","4.77","0.0","0.0","sa737438"
"Eddy Demurias","CIN","0","0","4.77","0","1","0","1.0","1","1","0","1","1","1.52","8.16","4.51","4.78","0.0","0.0","sa3007852"
"Eric Cochran-Gill","","0","0","4.65","0","1","0","1.0","1","1","0","1","1","1.55","7.17","4.71","4.78","0.0","0.0","sa827389"
"Braden Webb","MIL","0","0","4.58","0","1","0","1.0","1","1","0","1","1","1.51","9.45","5.36","4.75","0.0","0.0","sa876362"
"William Lescher","DET","0","0","4.73","0","1","0","1.0","1","1","0","1","0","1.42","8.20","3.97","4.82","0.0","0.0","sa3004471"
"Jake Cosart","","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.43","9.10","4.48","4.78","0.0","0.0","sa828802"
"Tyler Jay","","0","0","4.59","0","1","0","1.0","1","1","0","1","0","1.50","7.72","4.43","4.78","0.0","0.0","sa857588"
"Dillon Overton","","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.37","7.38","2.90","4.98","0.0","0.0","15627"
"Daniel Lietz","","0","0","4.60","0","1","0","1.0","1","1","0","1","1","1.51","7.84","4.61","4.78","0.0","0.0","sa737818"
"Will Gardner","PIT","0","0","4.71","0","1","0","1.0","1","1","0","1","1","1.57","9.20","5.71","4.76","0.0","0.0","sa3007484"
"Daniel Young","CLE","0","0","4.53","0","1","0","1.0","1","1","0","1","1","1.52","7.56","4.56","4.72","0.0","0.0","sa875200"
"Jacob Thompson","BOS","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.48","7.55","3.92","4.76","0.0","0.0","sa738914"
"Andrew Brown","PHI","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.46","7.41","3.93","4.78","0.0","0.0","sa918255"
"Ronald Marinaccio","NYY","0","0","4.66","0","1","0","1.0","1","1","0","1","1","1.45","9.43","4.62","4.76","0.0","0.0","sa3004593"
"Jhan Marinez","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.51","7.26","4.35","5.08","0.0","0.0","5830"
"Daniel Wright","","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.43","6.30","2.97","4.99","0.0","0.0","15179"
"Jean Machi","","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.46","6.78","3.70","5.01","0.0","0.0","3220"
"Michael Boyle","LAD","0","0","4.54","0","1","0","1.0","1","1","0","1","1","1.48","8.68","4.67","4.77","0.0","0.0","sa857604"
"Shea Murray","PIT","0","0","4.66","0","1","0","1.0","1","1","0","1","1","1.59","9.60","6.14","4.77","0.0","0.0","sa3006760"
